ranking,username,alias,categories,engagement,followers
1,@gessicakayane,gessicakayane,"['Humor', 'Celebrities', 'Animals & Pets']",2,15.2
2,@andressasuita,andressasuita,"['Modeling', 'Celebrities', 'Animals & Pets', 'Fashion']",2.19,15.7
3,@leonardo,leonardo,['Music'],1,15.9
4,@taina,taina,"['Marketing and Advertising', 'Modeling']",3.07,16.1
5,@cocielo,cocielo,"['Celebrity', 'Actors', 'Comedy', 'Humor']",2.4,16.8
6,@jujusalimeni,jujusalimeni,"['Art', 'Modeling']",0.2,17.2
7,@lexa,lexa,"['Music', 'Singer', 'Celebrities', 'Film, Music & Books']",0.23,18.1
8,@flaviapavanelli,flaviapavanelli,"['Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities']",0.8,18.4
9,@luvadepedreiro,luvadepedreiro,"['Comedy', 'Humor']",9.13,18.6
10,@kjapa,kjapa,['Actors'],6.9,19
11,@camilaqueiroz,camilaqueiroz,"['Art', 'Actors']",0.3,18.8
12,@marimaria,marimaria,"['Beauty', 'Art', 'Styling', 'Artist']",1.6,19
13,@rafaavitti,rafaavitti,"['Actors', 'Celebrities', 'Animals & Pets', 'Technology']",0.63,19.3
14,@zefelipecantor,zefelipecantor,"['Art', 'Songwriting']",3.3,19.6
15,@caiocastro,caiocastro,"['Art', 'Surfing', 'Actors']",0.2,20.1
16,@mirella,mirella,['Marketing and Advertising'],4.3,20.3
17,@tirullipa,tirullipa,['Humor'],0.5,21.4
18,@fernandasouzaoficial,fernandasouzaoficial,"['Art', 'Singer', 'Actors', 'Music']",0.4,21.7
19,@brunogagliasso,brunogagliasso,"['Celebrity', 'Actors', 'Celebrities', 'Humor']",0.18,21.7
20,@pefabiodemelo,pefabiodemelo,['Lifestyle'],1,22.1
21,@rafakalimann,rafakalimann,['Modeling'],1,22.4
22,@viihtube,viihtube,"['Art', 'Modeling', 'Lifestyle', 'Celebrities', 'Humor', 'Game', 'Cars & Motorcycles']",2.39,24.6
23,@gioewbank,gioewbank,"['Celebrity', 'Modeling', 'Actors']",4,25.7
24,@kevinho,kevinho,"['Art', 'Music', 'Singer']",0.15,28
25,@juliette,juliette,['Artist'],0.8,33.8
26,@virginia,virginia,"['Art', 'Modeling', 'Humor', 'Celebrities', 'Film, Music & Books', 'Animals & Pets', 'Artist']",2.5,38.6
27,@larissamanoela,larissamanoela,"['Celebrity', 'Art', 'Music', 'Actors']",0.2,45.7
28,@tatawerneck,tatawerneck,"['Actors', 'Artist']",0.4,53
29,@whinderssonnunes,whinderssonnunes,"['Celebrity', 'Comedy', 'Comedian']",0.7,58.4
30,@anitta,anitta,"['Art', 'Music', 'Singer']",0.7,63.3
